,T,RH,WS,Rs,P,month,season
3476,0.012935754,0.007932337,0.029498117,-0.16774979,0.0022684685,5,Summer
3490,0.13418713,0.029621368,0.11340675,0.52120525,0.0045056078,5,Summer
3506,-0.0037317711,-0.012784771,0.12684876,-0.12016483,0.003078264,5,Summer
3512,0.11362744,0.012484354,0.12672074,0.5102695,0.0055009974,5,Summer
3560,0.08330039,0.00058300205,0.04249266,0.53200483,0.0072053806,5,Summer
3562,0.092202716,0.009168244,0.03114633,0.52172905,0.007907168,5,Summer
3563,0.090867706,0.011102734,0.027747924,0.41909412,0.0063346983,5,Summer
3584,0.10287646,-0.0090239,0.13828537,0.54305506,0.0057602264,5,Summer
3588,0.12724577,0.02488383,0.10027368,0.26136053,0.0053198864,5,Summer
3591,0.064344674,0.02136691,0.037331328,-0.14550738,-0.00042433594,5,Summer
3600,0.0017206145,-0.011239072,0.07936531,-0.17743829,0.0019417399,6,Summer
3616,0.042103063,0.01595912,0.03584827,-0.1711838,-0.0014140541,6,Summer
3631,0.06399416,-0.008691256,0.12503785,0.45604166,0.004661265,6,Summer
3644,0.010728093,0.008417848,0.077765174,-0.17656927,0.00038450412,6,Summer
3647,-0.003269135,-0.008371782,0.055630755,-0.17113279,0.00017327836,6,Summer
3654,0.06200524,-0.016360885,0.15490137,0.35007316,0.0071246787,6,Summer
3656,0.09937602,-0.00210199,0.14173415,0.5233012,0.0046172594,6,Summer
3685,0.10264308,0.0309868,0.089791454,0.08194476,0.002608035,6,Summer
3696,-0.0020861414,-0.0067615537,0.0645118,-0.17419094,0.0015078593,6,Summer
3698,-0.0047728484,-0.01683319,0.09336652,-0.13437286,0.0025945262,6,Summer
3699,-0.0011808539,-0.03142637,0.12449397,-0.08161078,0.002659036,6,Summer
3700,0.0020223246,-0.040541362,0.12588866,0.008260688,0.0027977254,6,Summer
3720,-0.0017662996,-0.009642188,0.026998926,-0.16551217,0.0018176084,6,Summer
3724,0.011093941,-0.020323282,0.112546064,0.0082985405,0.0062655453,6,Summer
3727,0.06880829,9.8491546e-05,0.05381927,0.2904758,0.008681625,6,Summer
3734,0.069229566,0.012167857,0.006028693,-0.07305739,0.0041397307,6,Summer
3766,0.0067468565,-9.974495e-05,-0.009687832,-0.16238979,0.0013159907,6,Summer
3778,0.10041661,0.023658013,0.0004855395,0.43289942,0.0075746872,6,Summer
3793,-0.0023535767,0.012194419,0.012043558,-0.16276483,0.0028961967,6,Summer
3797,0.064868435,0.028975468,0.11082575,0.18104553,0.0029168965,6,Summer
3814,0.010383896,0.013664874,0.03682171,-0.16847658,0.00350538,6,Summer
3844,0.03754253,0.017709963,0.041687872,0.0520745,0.004437838,6,Summer
3848,0.111868076,0.023652976,-0.032343656,0.4876326,0.012846613,6,Summer
3851,0.11100783,0.020814385,-0.07321726,0.3935611,0.011639695,6,Summer
3856,0.049516357,0.023433292,-0.085267596,-0.16084592,-0.0021863992,6,Summer
3887,0.008723144,-0.0022478316,0.015816862,-0.1665499,0.0033982198,6,Summer
3910,-0.00952192,-0.046426225,0.06678642,-0.17463408,-0.00030835322,6,Summer
3919,0.051174566,0.004920344,-0.1002341,0.3332301,0.015686234,6,Summer
3920,0.061998475,0.004615153,-0.06556585,0.41892523,0.013806443,6,Summer
3924,0.08611553,0.005847848,0.0017255057,0.22539467,0.010641268,6,Summer
3943,0.066993445,-0.0026365498,0.026011534,0.40779674,0.009703671,6,Summer
3958,-0.0004774956,-0.031445477,0.013982492,-0.16595273,0.001158021,6,Summer
3984,-0.02665688,-0.06778472,0.027369726,-0.1629725,0.00071824103,6,Summer
3993,0.019968355,-0.020618478,-0.025677001,0.4673638,0.010843033,6,Summer
3998,0.010690535,-0.03880048,-0.013602449,-0.052223664,0.0035992141,6,Summer
4006,-0.014477365,-0.051703498,-0.020397516,-0.15886243,-0.00013582504,6,Summer
4007,-0.014466509,-0.045497715,-0.02923904,-0.15889011,0.0006908206,6,Summer
4021,0.041227452,0.0002617413,-0.09588737,0.099553995,0.00631276,6,Summer
4028,-0.0024696682,-0.027657215,-0.013420801,-0.160795,-0.0006123789,6,Summer
4047,0.050929114,0.008815386,0.0003405528,-0.14831585,-0.0028418417,6,Summer
4051,0.019154873,0.0028906644,0.067062914,-0.17597151,0.0008786292,6,Summer
4073,0.041429188,0.0024327242,0.07436592,-0.1817607,-0.002088428,6,Summer
4082,-0.0216398,-0.062336665,0.12243387,-0.12362685,0.003696823,6,Summer
4115,0.117991485,0.011985022,0.13111404,0.34689397,0.0062848637,6,Summer
4132,-0.016273368,-0.060697798,0.09920081,0.037198782,0.0032307506,6,Summer
4160,0.05319208,0.002320192,0.0042281765,0.46461415,0.0077658882,6,Summer
4205,0.0446927,-0.016963305,0.10074778,0.23066244,0.0063277166,6,Summer
4218,0.03674954,-0.0011507783,0.017112149,-0.1700899,-0.0022645665,6,Summer
4232,0.058907017,-0.0017378055,0.007983724,0.5293966,0.006196257,6,Summer
4237,0.08321761,0.009183249,-0.031835765,0.12071342,0.007702053,6,Summer
